"Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Terrestrial","Marine","Freshwater","Aerial","Life.Habit.Method","Life.Habit.Source","Mass.g","Mass.Method","Mass.Source","Mass.Comparison","Mass.Comparison.Source","Island.Endemicity","IUCN.Status.1.2","Added.IUCN.Status.1.2","Diet.Plant","Diet.Vertebrate","Diet.Invertebrate","Diet.Method","Diet.Source","scientificName"
"Xerospermophilus_tereticaudus","Rodentia","Sciuridae","Xerospermophilus","tereticaudus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",156.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Xerospermophilus tereticaudus"
"Xerus_erythropus","Rodentia","Sciuridae","Xerus","erythropus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",502.4,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,20,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Xerus erythropus"
"Xerus_inauris","Rodentia","Sciuridae","Xerus","inauris",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",529,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,20,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Xerus inauris"
"Xerus_princeps","Rodentia","Sciuridae","Xerus","princeps",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",636,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,20,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Xerus princeps"
"Xerus_rutilus","Rodentia","Sciuridae","Xerus","rutilus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",317.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",70,20,10,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Xerus rutilus"
"Zaedyus_pichiy","Cingulata","CingulataFam","Zaedyus","pichiy",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",1380,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","NT","No",0,0,100,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Zaedyus pichiy"
"Zaglossus_attenboroughi","Monotremata","Tachyglossidae","Zaglossus","attenboroughi",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",4332.1,"Assumed isometric based on mandible size","Mammalia 62: 367-396 (1998)","Zaglossus_bruijnii","Mammalia 62: 367-396 (1998)","Occurs on large land bridge islands","CR","No",0,0,100,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Zaglossus attenboroughi"
"Zaglossus_bartoni","Monotremata","Tachyglossidae","Zaglossus","bartoni",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",9413.8,"Assumed isometric based on mandible size","Mammalia 62: 367-396 (1998)","Zaglossus_bruijnii","Mammalia 62: 367-396 (1998)","Occurs on large land bridge islands","VU","No",0,0,100,"Transformed 000 Species","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.","Zaglossus bartoni"
"Zaglossus_bruijnii","Monotremata","Tachyglossidae","Zaglossus","bruijnii",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",7800,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on large land bridge islands","CR","No",0,0,100,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Zaglossus bruijni"
"Zaglossus_hacketti","Monotremata","Tachyglossidae","Zaglossus","hacketti",1,0,0,0,"Imputed","PHYLACINE 1.2.1",30000,"Reported","Johnson C Australia's Mammal Extinctions. A 50000 year History (2007)",NA,NA,"Occurs on mainland","EP","Yes",0,2,98,"Imputed 000 Species","PHYLACINE 1.2.1","Zaglossus hacketti"
"Zalophus_californianus","Carnivora","Otariidae","Zalophus","californianus",1,1,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",80000,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",0,97,3,"Transformed Observed Species","Weise, M. J., et al. 2008. Temporal variability in ocean climate and California sea lion diet and biomass consumption: implications for fisheries management. Marine Ecology Progress Series 373:157-172.","Zalophus californianus"
"Zalophus_japonicus","Carnivora","Otariidae","Zalophus","japonicus",1,1,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",505000,"Reported","Lowry, L. 2015 (Ammended version of 2015 assessment). Zalophus japonicus. The IUCN Red List of Threatened Species e.T41667A113089431. http://dx.doi.org/10.2305/IUCN.UK.2017-1.RLTS.T41667A113089431.en. Downloaded on 30 January 2018.",NA,NA,"Occurs on mainland","EX","No",0,93,7,"Imputed 000 Species","PHYLACINE 1.2.1","Zalophus japonicus"
"Zalophus_wollebaeki","Carnivora","Otariidae","Zalophus","wollebaeki",1,1,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",109000,"Reported","Trillmich, F. 2015. Zalophus wollebaeki. The IUCN Red List of Threatened Species. e.T41668A45230540. http://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T41668A45230540.en. Downloaded on 30 January 2018.",NA,NA,"Occurs only on isolated islands","EN","No",0,95,5,"Imputed 000 Species","PHYLACINE 1.2.1","Zalophus wollebaeki"
"Zapus_hudsonius","Rodentia","Dipodidae","Zapus","hudsonius",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",17.1,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Zapus hudsonius"
"Zapus_princeps","Rodentia","Dipodidae","Zapus","princeps",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",29,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Zapus princeps"
"Zapus_trinotatus","Rodentia","Dipodidae","Zapus","trinotatus",1,0,0,0,"Reported","IUCN. 2016. IUCN red list of threatened species. Version 2016-3.",27.5,"Reported","Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,"Occurs on mainland","LC","No",80,0,20,"Reported 000 Species","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","Zapus trinotatus"
