"","dat.scientificName","ss"
"11627","Sus scrofa",18
"11628","Sus scrofa",32
"11629","Sus scrofa",37
"11630","Sus scrofa",33
"11631","Sus scrofa",80
"11632","Sus scrofa",38
"11633","Sus scrofa",13
"11634","Sus scrofa",87
"11635","Sus scrofa",16
"11636","Sus scrofa",10
"11637","Sus scrofa",91
"11638","Sus scrofa",10
"11639","Sus scrofa",24
"11640","Sus scrofa",23
"11641","Sus scrofa",10
"11642","Sus scrofa",20
"11643","Sus scrofa",13
"11644","Sus scrofa",64
"11645","Sus scrofa",24
"11646","Sus scrofa",44
"11647","Sus scrofa",16
"11648","Sus scrofa",98
"11649","Sus scrofa",19
