"","dat.scientificName","ss"
"11650","Sus scrofa",56
"11651","Sus scrofa",65
"11652","Sus scrofa",59
"11653","Sus scrofa",55
"11654","Sus scrofa",31
"11655","Sus scrofa",121
"11656","Sus scrofa",26
"11657","Sylvicapra grimmia",12
"11658","Sylvicapra grimmia",69
"11659","Sylvicapra grimmia",46
"11660","Sylvicapra grimmia",129
"11661","Sylvicapra grimmia",83
"11662","Sylvicapra grimmia",125
"11663","Sylvicapra grimmia",19
"11664","Sylvicapra grimmia",102
"11665","Sylvicapra grimmia",124
"11666","Sylvicapra grimmia",141
"11667","Sylvicapra grimmia",105
"11668","Sylvicapra grimmia",21
"11669","Sylvicapra grimmia",11
