"year","ghf","analysis_unit","file_name"
2019,57.0667440510737,"file_1_unit_1_1_28day","processed_Argentina_IberaMarshland_PavioloDiBitetti.csv"
2019,57.0667440510737,"file_1_unit_1_1_allday","processed_Argentina_IberaMarshland_PavioloDiBitetti.csv"
2019,57.0667440510737,"file_1_unit_1_2_28day","processed_Argentina_IberaMarshland_PavioloDiBitetti.csv"
2019,57.0667440510737,"file_1_unit_1_2_56day","processed_Argentina_IberaMarshland_PavioloDiBitetti.csv"
2019,57.0667440510737,"file_1_unit_1_3_28day","processed_Argentina_IberaMarshland_PavioloDiBitetti.csv"
2019,57.0667440510737,"file_1_unit_1_4_28day","processed_Argentina_IberaMarshland_PavioloDiBitetti.csv"
2020,73.6661507706197,"file_1_unit_1_5_28day","processed_Argentina_IberaMarshland_PavioloDiBitetti.csv"
2013,198.16803126163,"file_10_unit_1_10_28day","processed_Australia_WAustRangelands_TimDoherty.csv"
2015,72.0189793549038,"file_100_unit_1_10_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2015,72.0189793549038,"file_100_unit_1_11_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2015,72.0189793549038,"file_100_unit_1_12_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2015,72.0189793549038,"file_100_unit_1_13_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2015,72.0189793549038,"file_100_unit_1_14_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2015,72.0189793549038,"file_100_unit_1_15_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2015,72.0189793549038,"file_100_unit_1_16_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2014,71.6727070819242,"file_100_unit_1_4_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2014,71.6727070819242,"file_100_unit_1_5_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2014,71.6727070819242,"file_100_unit_1_6_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2014,71.6727070819242,"file_100_unit_1_7_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2015,72.0189793549038,"file_100_unit_1_8_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2015,72.0189793549038,"file_100_unit_1_9_28day","processed_Russia_DaleMiquellesabz_2014-2015.csv"
2015,72.0189793549038,"file_101_unit_1_1_allday","processed_Russia_DaleMiquellesabz_2015-2016.csv"
2015,72.0189793549038,"file_101_unit_1_2_28day","processed_Russia_DaleMiquellesabz_2015-2016.csv"
2015,72.0189793549038,"file_101_unit_1_3_28day","processed_Russia_DaleMiquellesabz_2015-2016.csv"
2015,72.0189793549038,"file_101_unit_1_4_28day","processed_Russia_DaleMiquellesabz_2015-2016.csv"
2015,72.0189793549038,"file_101_unit_1_5_28day","processed_Russia_DaleMiquellesabz_2015-2016.csv"
2015,72.0189793549038,"file_101_unit_1_6_28day","processed_Russia_DaleMiquellesabz_2015-2016.csv"
2015,72.0189793549038,"file_101_unit_1_7_28day","processed_Russia_DaleMiquellesabz_2015-2016.csv"
2016,71.2335066377265,"file_101_unit_1_8_28day","processed_Russia_DaleMiquellesabz_2015-2016.csv"
2016,71.2335066377265,"file_101_unit_1_9_28day","processed_Russia_DaleMiquellesabz_2015-2016.csv"
2017,71.9814749381657,"file_102_unit_1_10_28day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_12_28day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2016,71.2335066377265,"file_102_unit_1_2_28day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_2_56day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_3_28day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_3_56day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_4_28day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_4_56day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_5_28day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_5_56day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_6_28day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_7_28day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_8_28day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_102_unit_1_9_28day","processed_Russia_DaleMiquellesabz_2016-2017.csv"
2017,71.9814749381657,"file_103_unit_1_1_allday","processed_Russia_DaleMiquellesabz_2017-2018.csv"
2017,71.9814749381657,"file_103_unit_1_2_28day","processed_Russia_DaleMiquellesabz_2017-2018.csv"
2017,71.9814749381657,"file_103_unit_1_2_56day","processed_Russia_DaleMiquellesabz_2017-2018.csv"
2017,71.9814749381657,"file_103_unit_1_3_28day","processed_Russia_DaleMiquellesabz_2017-2018.csv"
2017,71.9814749381657,"file_103_unit_1_4_28day","processed_Russia_DaleMiquellesabz_2017-2018.csv"
2017,71.9814749381657,"file_103_unit_1_5_28day","processed_Russia_DaleMiquellesabz_2017-2018.csv"
2017,71.9814749381657,"file_103_unit_1_6_28day","processed_Russia_DaleMiquellesabz_2017-2018.csv"
